SITE,DATE,TIME,AMPM,SPECIES,COUNT,ANTLERED,YOUNG,
PM1,,6:02,AM ,deer,2,0,1,
PM1,,6:03,AM ,deer,2,0,1,
PM1,,6:04,AM ,deer,2,0,1,
PM1,,6:05,AM ,deer,2,0,1,
PM1,,6:07,AM,deer,1,0,0,
PM1,,6:08,AM ,deer,2,0,1,
PM1,,6:09,AM ,deer,1,0,0,
PM1,,6:10,AM,deer,1,0,0,
PM1,,7:30,AM,deer,1,0,1,
PM1,,7:31,AM ,deer,2,0,1,
PM1,,7:32,AM ,deer,2,0,1,
PM1,,7:33,AM ,deer,2,0,1,
PM1,,7:34,AM ,deer,3,0,1,
PM1,,7:35,AM,deer,1,0,1,
PM1,,7:36,AM,deer,1,0,1,
PM1,,7:37,AM ,deer,1,0,0,
PM1,,7:39,AM ,deer,1,0,1,
PM1,,7:40,AM ,deer,1,0,1,
PM1,,6:15,PM,deer,1,0,1,
PM1,,6:16,PM,deer,1,0,1,
PM1,,6:17,PM,deer,1,0,1,
PM1,,6:18,PM,deer,1,0,1,
PM1,,6:20,PM,deer,1,0,1,
PM1,,6:21,PM,deer,1,0,1,
PM1,,6:22,PM,deer,1,0,1,
PM1,,6:23,PM,deer,1,0,1,
PM1,,6:24,PM,deer,1,0,1,
PM1,,6:30,PM,deer,1,0,1,
PM1,,6:31,PM,deer,1,0,1,
PM1,,7:08,PM,deer,1,0,0,
PM1,,7:10,PM,deer,1,0,0,
PM1,,7:12,PM,deer/racoon ,1,0,0,
PM1,,7:13,PM,deer/racoon ,1,0,0,
PM1,,7:14,PM,deer/racoon ,1,0,0,
PM1,10/8,12:48,AM,Racoons,0,0,0,
PM1,,12:50,AM,deer/racoon ,1,0,0,
PM1,,12:51,AM,deer,1,0,0,
PM1,,12:53,AM,deer,1,0,0,
PM1,,12:54,AM,deer,1,0,0,
PM1,,7:18,AM,deer,1,0,1,
PM1,,7:19,AM,deer,1,0,1,
PM1,,7:20,AM,deer,2,0,1,
PM1,,7:23,AM,deer,2,0,1,
PM1,,7:24,AM,deer,2,0,1,
PM1,,7:25,AM,deer,2,0,1,
PM1,,7:27,AM,deer,2,0,1,
PM1,,7:28,AM,deer,2,0,1,
PM1,,7:29,AM,deer,1,0,0,
PM1,,7:30,AM,deer,1,0,0,
PM1,,7:31,AM,deer,1,0,0,
PM1,,7:32,AM,deer,1,0,0,
PM1,,7:33,AM,deer,1,0,0,
PM1,,7:56,AM,deer,1,0,0,
PM1,,7:57,AM,deer,2,0,2,
PM1,,7:58,AM,deer,2,0,2,
PM1,,7:59,AM,deer,2,0,2,
PM1,,8:00,AM,deer,2,0,2,
PM1,,8:01,AM,deer,2,0,2,
PM1,,8:02,AM,deer,2,0,2,
PM1,,8:03,AM,deer,2,0,2,
